"N" "Gill,Gill" "Gill,GIT" "Gill,Lung" "Gill,Mouth" "Gill,Skin" "Gill,Swimbladder" "GIT,Gill" "GIT,GIT" "GIT,Lung" "GIT,Mouth" "GIT,Skin" "GIT,Swimbladder" "Lung,Gill" "Lung,GIT" "Lung,Lung" "Lung,Mouth" "Lung,Skin" "Lung,Swimbladder" "Mouth,Gill" "Mouth,GIT" "Mouth,Lung" "Mouth,Mouth" "Mouth,Skin" "Mouth,Swimbladder" "Skin,Gill" "Skin,GIT" "Skin,Lung" "Skin,Mouth" "Skin,Skin" "Skin,Swimbladder" "Swimbladder,Gill" "Swimbladder,GIT" "Swimbladder,Lung" "Swimbladder,Mouth" "Swimbladder,Skin" "Swimbladder,Swimbladder" "gains" "losses"
"121" 87 0 17 3 24 19 12 0 0 0 0 0 0 2 0 0 0 0 0 6 0 1 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 75 11
"131" 88 0 19 3 25 18 14 0 0 0 0 1 0 0 0 0 0 1 0 6 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 79 7
"141" 86 0 17 2 24 18 15 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 76 10
"151" 84 0 17 2 24 19 12 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 74 10
"161" 85 0 17 3 25 18 13 0 0 0 0 0 0 0 0 0 0 1 0 6 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 76 8
"171" 88 0 17 0 26 20 14 0 0 0 0 0 0 1 0 0 0 1 0 6 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 77 9
"181" 84 0 17 2 24 19 13 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 75 9
"191" 87 0 18 2 23 19 15 1 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 77 8
"201" 87 0 17 0 25 19 12 0 0 0 0 0 0 3 0 0 0 1 1 6 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 73 11
"211" 89 0 16 1 26 21 14 0 0 0 0 0 0 2 0 0 0 0 0 6 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 78 10
"221" 85 0 17 2 25 20 13 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 77 8
"231" 86 0 17 2 26 20 12 0 0 0 0 0 0 0 0 0 0 0 0 6 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 77 7
"241" 85 0 17 0 24 20 12 0 0 0 0 0 0 2 0 0 0 0 0 7 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 73 11
"251" 86 0 17 2 26 21 11 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 77 8
"261" 86 0 17 2 26 18 12 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 75 11
"271" 84 0 17 2 26 18 12 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 75 9
"281" 84 0 17 2 25 19 12 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 75 9
"291" 85 0 17 0 25 19 13 0 0 0 0 0 0 1 0 0 0 0 1 6 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 74 9
"301" 84 0 17 2 25 20 12 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 76 7
"311" 85 0 17 2 24 20 11 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 4 0 0 1 0 0 74 10
"321" 86 0 19 1 25 20 11 0 0 1 0 0 0 0 0 0 0 0 0 6 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 76 8
"331" 85 0 18 1 26 19 11 0 0 1 0 0 0 0 0 0 0 0 0 5 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 75 8
"341" 85 0 17 2 25 19 13 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 76 8
"351" 84 0 17 2 26 20 12 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 77 6
"361" 84 0 17 0 25 19 11 0 0 0 0 0 0 2 0 0 0 0 0 6 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 72 11
"371" 84 0 17 2 24 19 11 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0 73 10
"381" 84 0 17 2 25 19 14 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 77 7
"391" 86 0 18 3 24 18 13 0 0 0 0 1 0 0 0 0 0 0 0 6 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 76 8
"401" 84 0 17 0 25 20 11 0 0 0 0 0 0 2 0 0 0 0 0 6 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 73 10
"411" 86 0 17 0 26 18 12 0 0 0 0 0 0 2 0 0 0 0 0 6 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 1 0 73 10
"421" 85 0 17 2 26 17 12 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 1 0 2 0 0 0 0 0 2 0 0 0 0 0 74 10
