"N" "Am,Am" "Am,Aq" "Aq,Am" "Aq,Aq"
"3112" 90 0 2 88 0
"3210" 89 0 1 88 0
"338" 93 0 4 89 0
"348" 91 0 2 89 0
"358" 90 0 3 87 0
"368" 93 0 3 90 0
"378" 94 0 4 90 0
"388" 90 0 3 87 0
"398" 89 0 1 88 0
"408" 91 0 2 89 0
"4112" 88 0 0 88 0
"4210" 93 0 4 89 0
"438" 94 0 7 87 0
"448" 90 0 3 87 0
"458" 89 0 2 87 0
"468" 90 0 4 86 0
"478" 93 0 3 90 0
"488" 90 0 3 87 0
"498" 91 0 1 90 0
"508" 90 0 2 88 0
"5112" 91 0 1 90 0
"5210" 94 0 4 90 0
"538" 92 0 3 89 0
"548" 92 0 2 90 0
"558" 91 0 2 89 0
"568" 95 0 5 90 0
"578" 88 0 2 86 0
"588" 89 0 0 89 0
"598" 91 0 2 89 0
"608" 90 0 3 87 0
"6112" 93 0 5 88 0
"6210" 90 0 1 89 0
"638" 88 0 1 87 0
"648" 90 0 2 88 0
"658" 92 0 3 89 0
"668" 93 0 3 90 0
"678" 92 0 2 90 0
"688" 93 0 2 91 0
"698" 93 0 4 89 0
"708" 88 0 0 88 0
"7112" 88 0 2 86 0
"7210" 94 0 5 89 0
"738" 96 0 6 90 0
"748" 94 0 4 90 0
"758" 92 0 3 89 0
"768" 89 0 2 87 0
"778" 89 0 2 87 0
"788" 94 0 3 91 0
"798" 94 0 3 91 0
"808" 89 0 2 87 0
"8112" 92 0 3 89 0
"8210" 89 0 1 88 0
"838" 96 0 4 92 0
"848" 92 0 5 87 0
"858" 94 0 3 91 0
"868" 90 0 3 87 0
"878" 90 0 2 88 0
"888" 90 0 1 89 0
"898" 89 0 1 88 0
"908" 92 0 5 87 0
"9112" 94 0 3 91 0
"9210" 94 0 8 86 0
"938" 91 0 4 87 0
"948" 94 0 6 88 0
"958" 90 0 3 87 0
"968" 91 0 2 89 0
"978" 91 0 3 88 0
"988" 89 0 2 87 0
"998" 89 0 2 87 0
"1008" 89 0 0 89 0
"130" 87 0 2 85 0
"230" 89 0 2 87 0
"330" 88 0 3 85 0
"430" 88 0 1 87 0
"530" 91 0 5 86 0
"630" 89 0 2 87 0
"730" 89 0 1 88 0
"830" 89 0 2 87 0
"930" 96 0 5 91 0
"1010" 90 0 2 88 0
"1113" 93 0 3 90 0
"1210" 91 0 4 87 0
"139" 92 0 3 89 0
"149" 88 0 1 87 0
"159" 90 0 2 88 0
"169" 86 0 2 84 0
"179" 88 0 2 86 0
"189" 90 0 3 87 0
"199" 88 0 3 85 0
"209" 90 0 1 89 0
"2113" 90 0 4 86 0
"2211" 88 0 1 87 0
"239" 87 0 2 85 0
"249" 88 0 3 85 0
"259" 88 0 2 86 0
"269" 90 0 2 88 0
"279" 90 0 2 88 0
"289" 88 0 3 85 0
"299" 89 0 1 88 0
"309" 88 0 1 87 0
"3113" 92 0 3 89 0
"3211" 90 0 2 88 0
"339" 90 0 3 87 0
"349" 88 0 1 87 0
"359" 89 0 2 87 0
"369" 93 0 6 87 0
"379" 90 0 3 87 0
"389" 86 0 0 86 0
"399" 90 0 2 88 0
"409" 93 0 4 89 0
"4113" 88 0 2 86 0
"4211" 88 0 3 85 0
"439" 89 0 3 86 0
"449" 86 0 0 86 0
"459" 90 0 2 88 0
"469" 96 0 5 91 0
"479" 87 0 1 86 0
"489" 88 0 3 85 0
"499" 87 0 1 86 0
"509" 87 0 1 86 0
"5113" 89 0 3 86 0
"5211" 91 0 6 85 0
"539" 88 0 1 87 0
"549" 91 0 3 88 0
"559" 86 0 1 85 0
"569" 90 0 2 88 0
"579" 88 0 2 86 0
"589" 88 0 2 86 0
"599" 92 0 4 88 0
"609" 90 0 1 89 0
"6113" 86 0 0 86 0
"6211" 87 0 0 87 0
"639" 88 0 1 87 0
"649" 88 0 2 86 0
"659" 93 0 5 88 0
"669" 90 0 2 88 0
"679" 90 0 3 87 0
"689" 89 0 2 87 0
"699" 88 0 1 87 0
"709" 90 0 5 85 0
"7113" 88 0 1 87 0
"7211" 86 0 3 83 0
"739" 86 0 0 86 0
"749" 89 0 3 86 0
"759" 89 0 2 87 0
"769" 89 0 2 87 0
"779" 88 0 2 86 0
"789" 90 0 3 87 0
"799" 86 0 0 86 0
"809" 87 0 0 87 0
